age	workclass	education	marital-status	occupation	relationship	race	sex	capital-net	hours-per-week	native-country	Class
young	 ?	lower	 Never-married	 ?	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Local-gov	lower	Married	 Exec-managerial	 Husband	 White	 Male	high	low	developed	 >50K
young	 ?	lower	 Never-married	 ?	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Adm-clerical	 Unmarried	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Male	low	low	developed	 <=50K
medium	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 >50K
mature	 Local-gov	higher	Married	 Prof-specialty	 Husband	 Black	 Male	low	low	developed	 <=50K
mature	 State-gov	lower	 Never-married	 Adm-clerical	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married-separated	 Machine-op-inspct	 Unmarried	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married-separated	 Other-service	 Other-relative	 White	 Female	low	low	developed	 <=50K
medium	 State-gov	higher	 Never-married	 Prof-specialty	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 >50K
young	 Private	lower	Married-separated	 Adm-clerical	 Own-child	 Asian-Pac-Islander	 Female	low	low	developed	 <=50K
mature	 Private	higher	Married	 Machine-op-inspct	 Husband	 Black	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married	 Other-service	 Wife	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Exec-managerial	 Own-child	 White	 Male	low	low	developed	 <=50K
young	 ?	higher	 Never-married	 ?	 Own-child	 White	 Male	low	high	developed	 <=50K
medium	 Private	higher	Married	 Sales	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Self-emp-inc	lower	Married-separated	 Sales	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Handlers-cleaners	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	 Never-married	 Craft-repair	 Own-child	 Asian-Pac-Islander	 Male	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Adm-clerical	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Exec-managerial	 Husband	 White	 Male	low	high	developed	 >50K
mature	 State-gov	lower	Married	 Protective-serv	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 Local-gov	lower	Married	 Protective-serv	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 State-gov	higher	Married	 Prof-specialty	 Husband	 White	 Male	high	high	developed	 >50K
mature	 Federal-gov	higher	Married-separated	 Prof-specialty	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Self-emp-not-inc	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Adm-clerical	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 ?	higher	Married	 ?	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Tech-support	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Transport-moving	 Husband	 White	 Male	high	high	developed	 >50K
young	 Private	higher	 Never-married	 Sales	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Private	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Private	lower	Married-separated	 Machine-op-inspct	 Unmarried	 White	 Male	low	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Sales	 Husband	 Black	 Male	low	high	developed	 >50K
mature	 Private	higher	Married	 Sales	 Husband	 White	 Male	high	low	developed	 >50K
mature	 Private	higher	 Never-married	 Sales	 Not-in-family	 White	 Female	low	high	developed	 >50K
mature	 Private	lower	Married-separated	 Sales	 Unmarried	 White	 Female	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Adm-clerical	 Own-child	 Black	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Adm-clerical	 Own-child	 Black	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Farming-fishing	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married-separated	 Sales	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Federal-gov	lower	Married-separated	 Tech-support	 Unmarried	 Amer-Indian-Eskimo	 Female	low	low	developed	 <=50K
mature	 Private	higher	Married-separated	 Sales	 Unmarried	 White	 Female	low	high	developed	 >50K
medium	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Tech-support	 Wife	 White	 Female	low	low	 ?	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Self-emp-inc	lower	Married-separated	 Exec-managerial	 Unmarried	 White	 Female	low	high	developed	 >50K
mature	 Private	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	low	developed	 <=50K
young	 ?	lower	 Never-married	 ?	 Own-child	 Asian-Pac-Islander	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Adm-clerical	 Unmarried	 Black	 Female	low	low	developed	 <=50K
medium	 Private	higher	Married	 Adm-clerical	 Husband	 White	 Male	low	low	developed	 >50K
young	 Private	higher	 Never-married	 Exec-managerial	 Own-child	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Adm-clerical	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 Private	higher	 Never-married	 Adm-clerical	 Not-in-family	 Black	 Male	low	low	developed	 <=50K
young	 Self-emp-not-inc	lower	 Never-married	 Prof-specialty	 Other-relative	 Asian-Pac-Islander	 Female	low	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	high	developed	 >50K
mature	 Private	lower	Married-separated	 Other-service	 Other-relative	 Asian-Pac-Islander	 Female	low	high	developed	 <=50K
mature	 Federal-gov	higher	Married	 Prof-specialty	 Husband	 Asian-Pac-Islander	 Male	low	high	developed	 >50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Federal-gov	higher	 Never-married	 Exec-managerial	 Own-child	 White	 Female	low	low	developing	 <=50K
mature	 Private	lower	Married-separated	 Other-service	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 Self-emp-not-inc	higher	Married	 Craft-repair	 Husband	 White	 Male	low	high	developed	 >50K
young	 Private	higher	 Never-married	 Exec-managerial	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Local-gov	lower	Married	 Exec-managerial	 Husband	 White	 Male	low	high	developed	 <=50K
medium	 Private	lower	Married	 Other-service	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	Married	 Other-service	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Transport-moving	 Not-in-family	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Farming-fishing	 Not-in-family	 White	 Male	low	low	developing	 <=50K
mature	 Private	higher	Married	 Adm-clerical	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	Married	 Machine-op-inspct	 Husband	 Asian-Pac-Islander	 Male	low	low	 ?	 <=50K
mature	 Private	lower	Married	 Transport-moving	 Husband	 White	 Male	low	high	developed	 >50K
mature	 Private	lower	Married	 Exec-managerial	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 ?	lower	Married-separated	 ?	 Unmarried	 Black	 Female	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Machine-op-inspct	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Federal-gov	lower	Married-separated	 Prof-specialty	 Unmarried	 Amer-Indian-Eskimo	 Female	low	low	developed	 <=50K
medium	 Self-emp-not-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 >50K
young	 Private	lower	 Never-married	 Sales	 Own-child	 Other	 Female	low	low	 ?	 <=50K
mature	 Private	lower	 Never-married	 Other-service	 Not-in-family	 White	 Female	low	low	developing	 <=50K
medium	 Private	higher	 Never-married	 Sales	 Not-in-family	 White	 Female	low	high	developed	 >50K
mature	 Local-gov	higher	Married	 Prof-specialty	 Wife	 White	 Female	high	low	developed	 >50K
mature	 Local-gov	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Self-emp-inc	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	high	developed	 >50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married-separated	 Exec-managerial	 Not-in-family	 White	 Female	low	low	developed	 >50K
mature	 Self-emp-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married	 Other-service	 Husband	 White	 Male	low	low	developing	 <=50K
mature	 Self-emp-inc	higher	Married	 Sales	 Husband	 White	 Male	high	high	developed	 >50K
mature	 Private	lower	Married-separated	 Other-service	 Unmarried	 Black	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	higher	Married	 Tech-support	 Wife	 White	 Female	low	low	developed	 >50K
mature	 Federal-gov	lower	Married-separated	 Adm-clerical	 Unmarried	 Black	 Female	low	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Tech-support	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married-separated	 Machine-op-inspct	 Not-in-family	 White	 Male	low	low	 ?	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Farming-fishing	 Husband	 White	 Male	low	high	developed	 <=50K
medium	 Private	lower	 Never-married	 Tech-support	 Not-in-family	 White	 Female	low	low	developed	 <=50K
medium	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 ?	higher	Married	 ?	 Husband	 White	 Male	low	high	developed	 >50K
mature	 Private	lower	Married-separated	 Machine-op-inspct	 Not-in-family	 White	 Female	low	high	developed	 <=50K
young	 ?	lower	 Never-married	 ?	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	higher	Married-separated	 Prof-specialty	 Unmarried	 White	 Female	low	high	developed	 <=50K
mature	 ?	lower	Married-separated	 ?	 Unmarried	 White	 Female	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Exec-managerial	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Female	low	low	developed	 <=50K
mature	 Local-gov	lower	 Never-married	 Protective-serv	 Not-in-family	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	Married-separated	 Farming-fishing	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Exec-managerial	 Wife	 White	 Female	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married	 Exec-managerial	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Own-child	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Farming-fishing	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Male	high	high	developed	 >50K
mature	 Private	lower	 Never-married	 Transport-moving	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Private	higher	Married-separated	 Sales	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Self-emp-not-inc	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Local-gov	lower	Married-separated	 Transport-moving	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developing	 <=50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Private	lower	Married	 Other-service	 Husband	 White	 Male	low	low	developing	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Tech-support	 Other-relative	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Sales	 Not-in-family	 White	 Male	low	high	developed	 <=50K
medium	 Self-emp-not-inc	lower	 Never-married	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 State-gov	higher	Married-separated	 Prof-specialty	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Tech-support	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 Private	higher	Married	 Prof-specialty	 Wife	 White	 Female	low	high	developed	 >50K
young	 Private	lower	 Never-married	 Adm-clerical	 Own-child	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Farming-fishing	 Unmarried	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Tech-support	 Husband	 White	 Male	low	low	developed	 >50K
young	 Private	lower	 Never-married	 Machine-op-inspct	 Own-child	 White	 Male	low	low	developed	 <=50K
medium	 ?	lower	Married	 ?	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Other-service	 Other-relative	 Black	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Other-service	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Local-gov	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Transport-moving	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Tech-support	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-inc	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	Married-separated	 Machine-op-inspct	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	 Never-married	 Handlers-cleaners	 Own-child	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	lower	Married-separated	 Exec-managerial	 Not-in-family	 White	 Male	low	high	developed	 <=50K
young	 ?	lower	 Never-married	 ?	 Own-child	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	Married-separated	 Handlers-cleaners	 Own-child	 White	 Male	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Adm-clerical	 Own-child	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Craft-repair	 Own-child	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Own-child	 White	 Male	low	low	 ?	 <=50K
medium	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married-separated	 Prof-specialty	 Unmarried	 White	 Male	high	high	developed	 >50K
mature	 Private	lower	 Never-married	 Sales	 Unmarried	 White	 Male	low	high	developed	 >50K
young	 Private	lower	 Never-married	 Machine-op-inspct	 Own-child	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	Married-separated	 Sales	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married-separated	 Prof-specialty	 Unmarried	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Craft-repair	 Unmarried	 Amer-Indian-Eskimo	 Male	low	low	developing	 <=50K
mature	 Federal-gov	lower	Married-separated	 Adm-clerical	 Not-in-family	 Black	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Prof-specialty	 Wife	 White	 Female	high	high	developed	 >50K
young	 ?	lower	 Never-married	 ?	 Own-child	 White	 Female	low	low	developed	 <=50K
young	 State-gov	lower	 Never-married	 Adm-clerical	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Handlers-cleaners	 Unmarried	 White	 Male	low	low	 ?	 <=50K
mature	 ?	lower	Married	 ?	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	 Never-married	 Machine-op-inspct	 Unmarried	 Black	 Female	low	high	developed	 <=50K
mature	 Private	higher	Married	 Other-service	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	higher	 Never-married	 Exec-managerial	 Own-child	 White	 Male	low	low	developed	 <=50K
young	 Private	higher	 Never-married	 Prof-specialty	 Not-in-family	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Adm-clerical	 Own-child	 Black	 Female	low	low	developed	 <=50K
mature	 ?	lower	Married	 ?	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Prof-specialty	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-inc	lower	Married	 Transport-moving	 Husband	 White	 Male	low	high	 ?	 <=50K
mature	 Private	lower	Married-separated	 Machine-op-inspct	 Not-in-family	 White	 Male	low	high	developed	 >50K
young	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	high	developed	 <=50K
mature	 Private	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 <=50K
young	 Self-emp-not-inc	lower	 Never-married	 Other-service	 Not-in-family	 White	 Female	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Exec-managerial	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Private	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Local-gov	higher	Married-separated	 Prof-specialty	 Unmarried	 White	 Female	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Female	high	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Farming-fishing	 Husband	 White	 Male	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married	 Craft-repair	 Husband	 Other	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Machine-op-inspct	 Own-child	 Black	 Female	low	low	developed	 <=50K
mature	 Private	lower	 Never-married	 Sales	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	higher	Married-separated	 Prof-specialty	 Unmarried	 Black	 Male	low	low	developed	 <=50K
mature	 ?	lower	Married	 ?	 Husband	 White	 Male	low	low	developing	 <=50K
mature	 Local-gov	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Self-emp-not-inc	lower	Married	 Farming-fishing	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married	 Machine-op-inspct	 Wife	 Black	 Female	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	high	developed	 <=50K
mature	 Local-gov	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 >50K
mature	 Private	lower	Married-separated	 Tech-support	 Unmarried	 White	 Female	low	low	developed	 <=50K
medium	 Self-emp-not-inc	higher	 Never-married	 Tech-support	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-not-inc	higher	Married	 Prof-specialty	 Husband	 Asian-Pac-Islander	 Male	low	low	developing	 >50K
mature	 Self-emp-not-inc	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	 Never-married	 Sales	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	 Never-married	 Sales	 Other-relative	 White	 Male	low	high	developing	 <=50K
mature	 Self-emp-inc	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Private	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	lower	 Never-married	 Adm-clerical	 Unmarried	 Black	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Adm-clerical	 Husband	 Asian-Pac-Islander	 Male	low	low	developing	 <=50K
medium	 Local-gov	lower	Married	 Protective-serv	 Husband	 White	 Male	low	high	developed	 <=50K
medium	 Private	lower	 Never-married	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	Married	 Transport-moving	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 State-gov	higher	Married-separated	 Protective-serv	 Not-in-family	 White	 Male	low	low	developing	 >50K
mature	 Self-emp-not-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	high	developed	 >50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 Black	 Male	low	low	developed	 <=50K
medium	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Adm-clerical	 Own-child	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Tech-support	 Not-in-family	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married	 Sales	 Wife	 White	 Female	low	low	developed	 >50K
mature	 Private	lower	Married-separated	 Sales	 Unmarried	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married-separated	 Craft-repair	 Own-child	 White	 Male	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Not-in-family	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Adm-clerical	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Machine-op-inspct	 Not-in-family	 Black	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Handlers-cleaners	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married-separated	 Sales	 Unmarried	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married	 Machine-op-inspct	 Wife	 White	 Female	low	low	developing	 <=50K
medium	 Private	lower	Married-separated	 Sales	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Tech-support	 Unmarried	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 State-gov	lower	Married-separated	 Other-service	 Unmarried	 Black	 Female	low	low	developing	 <=50K
mature	 State-gov	higher	Married-separated	 Protective-serv	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Transport-moving	 Own-child	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Prof-specialty	 Not-in-family	 Other	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Other-service	 Wife	 Black	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	Married-separated	 Handlers-cleaners	 Other-relative	 White	 Female	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Tech-support	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Local-gov	higher	 Never-married	 Adm-clerical	 Not-in-family	 Black	 Female	low	low	developed	 <=50K
young	 Federal-gov	lower	 Never-married	 Adm-clerical	 Other-relative	 White	 Male	low	low	developed	 <=50K
mature	 Federal-gov	lower	 Never-married	 Other-service	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Transport-moving	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Farming-fishing	 Unmarried	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married	 Exec-managerial	 Husband	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Protective-serv	 Husband	 Black	 Male	low	low	developed	 >50K
mature	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Handlers-cleaners	 Own-child	 White	 Male	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Sales	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Private	higher	Married	 Adm-clerical	 Husband	 White	 Male	low	high	 ?	 >50K
medium	 Private	lower	Married	 Machine-op-inspct	 Wife	 White	 Female	low	low	developed	 <=50K
mature	 State-gov	lower	 Never-married	 Tech-support	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	high	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 State-gov	higher	Married	 Prof-specialty	 Husband	 Asian-Pac-Islander	 Male	low	high	developing	 >50K
medium	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	 Never-married	 Sales	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Federal-gov	lower	Married	 Exec-managerial	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 >50K
mature	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Private	lower	Married-separated	 Sales	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Male	low	high	developed	 >50K
medium	 Private	higher	 Never-married	 Prof-specialty	 Not-in-family	 White	 Female	low	high	developed	 >50K
